,State Name,county Name,AQI,Date,Category,Defining Parameter,date_code,Week,max_aqi
10795,Arizona,Santa Cruz,92,2017-01-08,Moderate,PM2.5,201701,1,92
10796,Arizona,Santa Cruz,63,2017-01-09,Moderate,PM2.5,201702,2,63
10809,Arizona,Santa Cruz,65,2017-01-22,Moderate,PM2.5,201703,3,65
10816,Arizona,Santa Cruz,56,2017-01-29,Moderate,PM2.5,201704,4,56
10820,Arizona,Santa Cruz,71,2017-02-02,Moderate,PM2.5,201705,5,71
10827,Arizona,Santa Cruz,57,2017-02-09,Moderate,PM10,201706,6,57
10835,Arizona,Santa Cruz,41,2017-02-17,Good,PM10,201707,7,41
10849,Arizona,Santa Cruz,41,2017-03-03,Good,PM10,201709,9,41
10857,Arizona,Santa Cruz,49,2017-03-11,Good,PM10,201710,10,49
10865,Arizona,Santa Cruz,57,2017-03-19,Moderate,PM10,201711,11,57
10867,Arizona,Santa Cruz,44,2017-03-21,Good,PM10,201712,12,44
10872,Arizona,Santa Cruz,44,2017-03-26,Good,PM2.5,201712,12,44
10877,Arizona,Santa Cruz,53,2017-03-31,Moderate,PM10,201713,13,53
10889,Arizona,Santa Cruz,63,2017-04-12,Moderate,PM2.5,201715,15,63
10899,Arizona,Santa Cruz,56,2017-04-22,Moderate,PM10,201716,16,56
10938,Arizona,Santa Cruz,40,2017-05-31,Good,PM2.5,201722,22,40
10944,Arizona,Santa Cruz,39,2017-06-06,Good,PM2.5,201723,23,39
10957,Arizona,Santa Cruz,66,2017-06-19,Moderate,PM2.5,201725,25,66
10965,Arizona,Santa Cruz,51,2017-06-27,Moderate,PM2.5,201726,26,51
10995,Arizona,Santa Cruz,32,2017-07-27,Good,PM10,201730,30,32
11016,Arizona,Santa Cruz,44,2017-08-17,Good,PM10,201733,33,44
11088,Arizona,Santa Cruz,68,2017-10-28,Moderate,PM2.5,201743,43,68
11094,Arizona,Santa Cruz,56,2017-11-03,Moderate,PM2.5,201744,44,56
11103,Arizona,Santa Cruz,57,2017-11-12,Moderate,PM10,201745,45,57
11106,Arizona,Santa Cruz,59,2017-11-15,Moderate,PM10,201746,46,59
11114,Arizona,Santa Cruz,72,2017-11-23,Moderate,PM10,201747,47,72
11122,Arizona,Santa Cruz,94,2017-12-01,Moderate,PM10,201748,48,94
11145,Arizona,Santa Cruz,167,2017-12-24,Unhealthy,PM2.5,201751,51,167
11146,Arizona,Santa Cruz,186,2017-12-25,Unhealthy,PM2.5,201752,52,186
12187,Arkansas,Clark,74,2017-04-08,Moderate,Ozone,201714,14,74
14883,California,Alameda,40,2017-01-04,Good,NO2,201701,1,40
14894,California,Alameda,68,2017-01-15,Moderate,PM2.5,201702,2,68
14896,California,Alameda,85,2017-01-17,Moderate,PM2.5,201703,3,85
14908,California,Alameda,65,2017-01-29,Moderate,PM2.5,201704,4,65
14911,California,Alameda,87,2017-02-01,Moderate,PM2.5,201705,5,87
14922,California,Alameda,45,2017-02-12,Good,PM2.5,201706,6,45
14925,California,Alameda,56,2017-02-15,Moderate,PM2.5,201707,7,56
14930,California,Alameda,44,2017-02-20,Good,Ozone,201708,8,44
14931,California,Alameda,44,2017-02-21,Good,PM2.5,201708,8,44
14938,California,Alameda,53,2017-02-28,Moderate,PM2.5,201709,9,53
14947,California,Alameda,55,2017-03-09,Moderate,PM2.5,201710,10,55
14952,California,Alameda,50,2017-03-14,Good,PM2.5,201711,11,50
14962,California,Alameda,43,2017-03-24,Good,Ozone,201712,12,43
14967,California,Alameda,59,2017-03-29,Moderate,PM2.5,201713,13,59
14972,California,Alameda,58,2017-04-03,Moderate,PM2.5,201714,14,58
14980,California,Alameda,47,2017-04-11,Good,PM2.5,201715,15,47
14990,California,Alameda,45,2017-04-21,Good,PM2.5,201716,16,45
14999,California,Alameda,55,2017-04-30,Moderate,PM2.5,201717,17,55
15001,California,Alameda,57,2017-05-02,Moderate,PM2.5,201718,18,57
15006,California,Alameda,57,2017-05-07,Moderate,PM2.5,201718,18,57
15007,California,Alameda,68,2017-05-08,Moderate,PM2.5,201719,19,68
15018,California,Alameda,62,2017-05-19,Moderate,PM2.5,201720,20,62
15021,California,Alameda,61,2017-05-22,Moderate,Ozone,201721,21,61
15034,California,Alameda,60,2017-06-04,Moderate,PM2.5,201722,22,60
15035,California,Alameda,68,2017-06-05,Moderate,PM2.5,201723,23,68
15048,California,Alameda,64,2017-06-18,Moderate,PM2.5,201724,24,64
15052,California,Alameda,93,2017-06-22,Moderate,Ozone,201725,25,93
15059,California,Alameda,58,2017-06-29,Moderate,PM2.5,201726,26,58
15068,California,Alameda,65,2017-07-08,Moderate,PM2.5,201727,27,65
15076,California,Alameda,67,2017-07-16,Moderate,PM2.5,201728,28,67
15077,California,Alameda,67,2017-07-17,Moderate,PM2.5,201729,29,67
15088,California,Alameda,54,2017-07-28,Moderate,PM2.5,201730,30,54
15093,California,Alameda,97,2017-08-02,Moderate,Ozone,201731,31,97
15098,California,Alameda,58,2017-08-07,Moderate,PM2.5,201732,32,58
15111,California,Alameda,57,2017-08-20,Moderate,PM2.5,201733,33,57
15117,California,Alameda,129,2017-08-26,Unhealthy for Sensitive Groups,Ozone,201734,34,129
15123,California,Alameda,205,2017-09-01,Very Unhealthy,Ozone,201735,35,205
15126,California,Alameda,149,2017-09-04,Unhealthy for Sensitive Groups,PM2.5,201736,36,149
15138,California,Alameda,64,2017-09-16,Moderate,PM2.5,201737,37,64
15146,California,Alameda,55,2017-09-24,Moderate,PM2.5,201738,38,55
15149,California,Alameda,71,2017-09-27,Moderate,Ozone,201739,39,71
15159,California,Alameda,61,2017-10-07,Moderate,PM2.5,201740,40,61
15165,California,Alameda,159,2017-10-13,Unhealthy,PM2.5,201741,41,159
15169,California,Alameda,95,2017-10-17,Moderate,PM2.5,201742,42,95
15177,California,Alameda,97,2017-10-25,Moderate,Ozone,201743,43,97
15184,California,Alameda,61,2017-11-01,Moderate,PM2.5,201744,44,61
15193,California,Alameda,53,2017-11-10,Moderate,PM2.5,201745,45,53
15195,California,Alameda,53,2017-11-12,Moderate,PM2.5,201745,45,53
15202,California,Alameda,63,2017-11-19,Moderate,PM2.5,201746,46,63
15203,California,Alameda,76,2017-11-20,Moderate,PM2.5,201747,47,76
15215,California,Alameda,72,2017-12-02,Moderate,PM2.5,201748,48,72
15222,California,Alameda,87,2017-12-09,Moderate,PM2.5,201749,49,87
15228,California,Alameda,122,2017-12-15,Unhealthy for Sensitive Groups,PM2.5,201750,50,122
15237,California,Alameda,91,2017-12-24,Moderate,PM2.5,201751,51,91
15244,California,Alameda,116,2017-12-31,Unhealthy for Sensitive Groups,PM2.5,201752,52,116
15245,California,Amador,28,2017-01-01,Good,Ozone,201752,52,28
15247,California,Amador,34,2017-01-03,Good,Ozone,201701,1,34
15254,California,Amador,36,2017-01-10,Good,Ozone,201702,2,36
15262,California,Amador,39,2017-01-18,Good,Ozone,201703,3,39
15267,California,Amador,32,2017-01-23,Good,Ozone,201704,4,32
15276,California,Amador,39,2017-02-01,Good,Ozone,201705,5,39
15281,California,Amador,40,2017-02-06,Good,Ozone,201706,6,40
15292,California,Amador,38,2017-02-17,Good,Ozone,201707,7,38
15300,California,Amador,37,2017-02-25,Good,Ozone,201708,8,37
15308,California,Amador,39,2017-03-05,Good,Ozone,201709,9,39
15309,California,Amador,35,2017-03-06,Good,Ozone,201710,10,35
15318,California,Amador,41,2017-03-15,Good,Ozone,201711,11,41
15329,California,Amador,39,2017-03-26,Good,Ozone,201712,12,39
